threshold,far,frr,tar
-0.08324407,0.93956594,0.00167392,0.99832608
-0.08297497,0.93923205,0.00167392,0.99832608
-0.08290520,0.93889816,0.00167392,0.99832608
-0.08290404,0.93856427,0.00167392,0.99832608
-0.08274729,0.93823038,0.00167392,0.99832608
-0.08242961,0.93789649,0.00167392,0.99832608
-0.08237856,0.93756260,0.00167392,0.99832608
-0.08230303,0.93756260,0.00200870,0.99799130
-0.08228656,0.93722871,0.00200870,0.99799130
-0.08213078,0.93722871,0.00234349,0.99765651
-0.08199433,0.93689482,0.00234349,0.99765651
-0.08127928,0.93656093,0.00234349,0.99765651
-0.08125917,0.93622705,0.00234349,0.99765651
-0.08125356,0.93589316,0.00234349,0.99765651
-0.08113389,0.93555927,0.00234349,0.99765651
-0.08111960,0.93522538,0.00234349,0.99765651
-0.08099411,0.93489149,0.00234349,0.99765651
-0.08086386,0.93455760,0.00234349,0.99765651
-0.08082622,0.93422371,0.00234349,0.99765651
-0.08048514,0.93388982,0.00234349,0.99765651
-0.08014563,0.93355593,0.00234349,0.99765651
-0.08001821,0.93322204,0.00234349,0.99765651
-0.07992224,0.93288815,0.00234349,0.99765651
-0.07991329,0.93255426,0.00234349,0.99765651
-0.07972100,0.93222037,0.00234349,0.99765651
-0.07961910,0.93188648,0.00234349,0.99765651
-0.07959630,0.93155259,0.00234349,0.99765651
-0.07940287,0.93121870,0.00234349,0.99765651
-0.07923279,0.93121870,0.00267827,0.99732173
-0.07916673,0.93088481,0.00267827,0.99732173
-0.07912662,0.93055092,0.00267827,0.99732173
-0.07906546,0.93021703,0.00267827,0.99732173
-0.07897241,0.92988314,0.00267827,0.99732173
-0.07888878,0.92954925,0.00267827,0.99732173
-0.07883254,0.92921536,0.00267827,0.99732173
-0.07877174,0.92888147,0.00267827,0.99732173
-0.07875380,0.92854758,0.00267827,0.99732173
-0.07873953,0.92821369,0.00267827,0.99732173
-0.07853488,0.92787980,0.00267827,0.99732173
-0.07835110,0.92754591,0.00267827,0.99732173
-0.07831540,0.92721202,0.00267827,0.99732173
-0.07803246,0.92687813,0.00267827,0.99732173
-0.07769927,0.92654424,0.00267827,0.99732173
-0.07767043,0.92621035,0.00267827,0.99732173
-0.07734234,0.92587646,0.00267827,0.99732173
-0.07727145,0.92554257,0.00267827,0.99732173
-0.07696977,0.92520868,0.00267827,0.99732173
-0.07694966,0.92487479,0.00267827,0.99732173
-0.07685318,0.92454090,0.00267827,0.99732173
-0.07681098,0.92420701,0.00267827,0.99732173
-0.07654825,0.92387312,0.00267827,0.99732173
-0.07653510,0.92353923,0.00267827,0.99732173
-0.07646787,0.92320534,0.00267827,0.99732173
